seconds_since_epoch,datestamp,sp1_watts_generated,sp2_watts_generated,sp3_watts_generated,iot_gateway_watt_consumption,water_pump_watt_consumption,valve1_watt_consumption,valve2_watt_consumption,valve3_watt_consumption,ms1_watt_consumption,ms2_watt_consumption,ms3_watt_consumption,temp1_watt_consumption,temp2_watt_consumption,temp3_watt_consumption,battery_watt_hours,valve1_litres,valve2_litres,valve3_litres,ms1_soil_moisture_pct,ms2_soil_moisture_pct,ms3_soil_moisture_pct,temps1_soil_temperature_C,temps2_soil_temperature_C,temps3_soil_temperature_C,latency_iotgateway_ms,latency_logcollector_ms,packetloss_iotgateway,packetloss_logcollector,auth_success_mqtt_to_hmi,auth_failure_mqtt_to_hmi,auth_success_ssh_to_iogateway,auth_failure_ssh_to_iotgateway,class
1673334002,0:00,0,0,0,0.928143713,0,0.323232323,0.12,0.1,0.428571429,0.142857143,0.285714286,0.285714286,0.714285714,0.428571429,0.380846883,0.309499832,0.183244326,0.167167167,0.706149126,0.740298706,0.413726406,0.349450549,0.151098901,0.436081904,0.918064516,0.273340249,0.541436464,0.328748281,0.476190476,0.35,0.272727273,0.272727273,abnormal
1673334062,0:01,0,0,0,0.622754491,0,0.03030303,0.16,0.1,0.428571429,0.142857143,0.142857143,0.571428571,0.571428571,0.571428571,0.37946425,0.075528701,0.213618158,0.168501835,0.619114312,0.725030004,0.143400253,0.156593407,0.235164835,0.241837299,0.970967742,0.579356846,0.35359116,0.418156809,0.666666667,0.6,0.909090909,0.363636364,abnormal
1673334122,0:02,0,0,0,0.119760479,0,0.151515152,0,0.31,0,0.142857143,0.571428571,0.285714286,0.857142857,0.285714286,0.378639521,0.205438066,0.012016021,0.302969636,0.402761104,0.5210028,0.045554592,0.418681319,0.170879121,0.152185944,0.088387097,0.096991701,0.266574586,0.284731774,0.095238095,0.3,0.636363636,0.454545455,abnormal
1673334182,0:03,0,0,0,0.646706587,0,0.262626263,0.08,0.16,0.714285714,0.571428571,0.714285714,0.857142857,0.142857143,0.571428571,0.376990063,0.277274253,0.14552737,0.214214214,0.318860878,0.721429524,0.043286867,0.141758242,0.437912088,0.037631433,0.8,0.391078838,0.361878453,0.364511692,0.095238095,0.3,0.909090909,0.818181818,abnormal
1673334242,0:04,0,0,0,0.532934132,0,0.323232323,0.31,0.15,0.857142857,0.428571429,0.571428571,0.714285714,0.571428571,0.428571429,0.375267835,0.311513931,0.306074766,0.209209209,0.04068294,0.915788772,0.031881545,0.166483516,0.339010989,0.376314333,0.861935484,0.200207469,0.407458564,0.13480055,0.380952381,0.65,0.181818182,0.545454545,abnormal
1673334302,0:05,0,0,0,0.532934132,0,0.323232323,0.16,0.31,0.714285714,0.571428571,0.142857143,0.142857143,0,1,0.37359412,0.311849614,0.215954606,0.30363697,0.522275577,0.715095346,0.516574401,0.057692308,0.324175824,0.167127836,0.003225806,0.003112033,0.284530387,0.237964237,0.619047619,0.5,0.272727273,0.454545455,abnormal
1673334362,0:06,0,0,0,0.22754491,0,0.252525253,0.11,0.01,0.285714286,0,0.857142857,0.428571429,0.285714286,0.142857143,0.372704707,0.274253105,0.177903872,0.042375709,0.407896492,0.301373516,0.527246048,0.354395604,0.353846154,0.346430548,0.058709677,0.644190871,0.263812155,0.374140303,0.142857143,0.15,0.454545455,0.636363636,abnormal
1673334422,0:07,0,0,0,0.628742515,0,0.02020202,0.32,0.3,0.714285714,0.571428571,0.571428571,0.714285714,0.285714286,0.285714286,0.370990564,0.070493454,0.310747664,0.3003003,0.441109777,0.205760768,0.132995398,0.062637363,0.432967033,0.142224682,0.182580645,0.355809129,0.214088398,0.310866575,0.047619048,0.2,0.909090909,0.363636364,abnormal
1673334482,0:08,0,0,0,0.622754491,0,0.191919192,0.26,0.01,0.285714286,0.857142857,0.428571429,0.428571429,0.142857143,0.142857143,0.369486647,0.236656596,0.275700935,0.034701368,0.920835001,0.94312575,0.244980991,0.443406593,0.329120879,0.460985058,0.005806452,0.823651452,0.277624309,0.35213205,0.047619048,0,0.636363636,0,abnormal
1673334542,0:09,0,0,0,0.80239521,0,0.050505051,0.02,0,1,0.428571429,0.571428571,0.714285714,0.142857143,0.857142857,0.367974644,0.11211816,0.072096128,0.014014014,0.60470855,0.807907721,0.127859668,0.369230769,0.447802198,0.152185944,0.441290323,0.637966805,0.38121547,0.354883081,0.80952381,0.4,0.636363636,0.272727273,abnormal
1673334602,0:10,0,0,0,0.730538922,0,0.161616162,0.05,0.07,0.142857143,0.571428571,0.857142857,0.714285714,0.714285714,0.142857143,0.366422213,0.217522659,0.110146862,0.136469803,0.24989996,0.142418989,0.524111252,0.136813187,0.062087912,0.456004427,0.056129032,0.693983402,0.331491713,0.365887208,0.238095238,0.15,0.363636364,0.454545455,abnormal
1673334662,0:11,0,0,0,0.724550898,0,0.02020202,0.16,0.26,1,0.142857143,1,0.142857143,0.428571429,0.285714286,0.364756584,0.073514602,0.214953271,0.277944611,0.33306656,0.11554874,0.006803175,0.344505495,0.428021978,0.152185944,0.373548387,0.382261411,0.277624309,0.229711142,0.428571429,0.35,0,0.090909091,abnormal
1673334722,0:12,0,0,0,0.233532934,0,0,0.11,0,0.285714286,0.571428571,0.428571429,0.857142857,0,1,0.364012711,0.009399127,0.175567423,0.012345679,0.724756569,0.814908654,0.714933636,0.235714286,0.23021978,0.037631433,0.456129032,0.264522822,0.408839779,0.19394773,0.19047619,0.8,0.727272727,0.181818182,abnormal
1673334782,0:13,0,0,0,0.826347305,0,0.151515152,0.01,0.07,0.714285714,0.285714286,0,1,0,0.428571429,0.362411766,0.206780799,0.044058745,0.133800467,0.219221022,0.906854247,0.030547589,0.220879121,0.334065934,0.067515219,0.303225806,0.991182573,0.321823204,0.541953232,0.285714286,0.3,0.727272727,0.272727273,abnormal
1673334842,0:14,0,0,0,0.616766467,0,0.01010101,0.11,0.08,0.142857143,1,0,0,0.714285714,1,0.361093817,0.04095334,0.17222964,0.149482816,0.326930772,0.543605814,0.612819316,0.438461538,0.131318681,0.172108467,0.579354839,0.038381743,0.360497238,0.272352132,0.095238095,0.05,0.272727273,0.727272727,abnormal
1673334902,0:15,0,0,0,0.706586826,0,0.202020202,0.01,0.15,0.571428571,0.857142857,0.714285714,0.857142857,0.857142857,0.714285714,0.359428188,0.243705942,0.042056075,0.208875542,0.636721355,0.338778504,0.338224505,0.156593407,0.25,0.326508024,0.988387097,0.079356846,0.39640884,0.2434663,0,0.6,0.545454545,0,abnormal
1673334962,0:16,0,0,0,0.808383234,0,0.070707071,0.2,0.03,0.428571429,0.285714286,0.857142857,0,0.142857143,0.857142857,0.357786816,0.141658275,0.243991989,0.082082082,0.299986661,0.037204961,0.031748149,0.458241758,0.245054945,0.167127836,0,0.558609959,0.328729282,0.403026135,0.047619048,0.05,0.090909091,0.454545455,abnormal
1673335022,0:17,0,0,0,0.005988024,0,0.151515152,0.16,0,0.857142857,0.714285714,0.857142857,0.714285714,0.285714286,0.571428571,0.357139969,0.207116482,0.214619493,0.00667334,0.002267574,0.114081878,0.502434469,0.443406593,0.358791209,0.236856669,0.882580645,0.29719917,0.511049724,0.27647868,0.095238095,0.25,0.545454545,0,abnormal
1673335082,0:18,0,0,0,0.646706587,0,0.01010101,0.01,0.07,0.571428571,0.285714286,0.285714286,0.142857143,0.571428571,0.857142857,0.355878619,0.037596509,0.046395194,0.135135135,0.722689076,0.527870383,0.245647969,0.161538462,0.151098901,0.032650802,0.635483871,0.399896266,0.389502762,0.382393398,0.047619048,0.05,0.454545455,0.545454545,abnormal
1673335142,0:19,0,0,0,0.724550898,0,0,0.01,0.25,0.714285714,0.285714286,0.428571429,0.428571429,0.714285714,0.714285714,0.35434236,0.008727761,0.047730307,0.271604938,0.130585568,0.236298173,0.805909424,0.166483516,0.462637363,0.057553957,0.082580645,0.114626556,0.232044199,0.313617607,0,0.35,0.545454545,0.181818182,abnormal
1673335202,0:20,0,0,0,0.94011976,0,0,0.14,0.11,0.142857143,1,0.285714286,0.714285714,0.428571429,0.857142857,0.352515019,0.00973481,0.201268358,0.178845512,0.232959851,0.73889852,0.923030748,0.042857143,0.131318681,0.032650802,0.288387097,0.029564315,0.33839779,0.30261348,0.333333333,0.6,0.454545455,0.272727273,abnormal
1673335262,0:21,0,0,0,0.730538922,0,0.03030303,0.07,0.02,0.285714286,0.571428571,0.142857143,0.285714286,0.428571429,0.428571429,0.351148556,0.083249413,0.138184246,0.072739406,0.025343471,0.835844779,0.531247916,0.250549451,0.126373626,0.137244051,0.390967742,0.126556017,0.377071823,0.152682256,0.761904762,0.05,0.545454545,0.909090909,abnormal
1673335322,0:22,0,0,0,0.526946108,0,0.04040404,0.12,0.01,0.714285714,0.428571429,0.428571429,0.285714286,0,0.285714286,0.350016575,0.103726083,0.180574099,0.039372706,0.210884354,0.414188558,0.821650103,0.235714286,0.052197802,0.047592695,0.364516129,0.70280083,0.138121547,0.511691884,0.142857143,0.6,0.272727273,0.545454545,abnormal
1673335382,0:23,0,0,0,0.71257485,0,0.151515152,0.03,0.31,0.428571429,0.571428571,0.285714286,0.428571429,1,0.142857143,0.348334775,0.208459215,0.079105474,0.306639973,0.60230759,0.218562475,0.519975989,0.354395604,0.071978022,0.465965689,0.691612903,0.25,0.444751381,0.099037139,0.476190476,0.15,0.545454545,0.272727273,abnormal
1673335442,0:24,0,0,0,0.149700599,0,0.242424242,0.08,0.03,0.857142857,0.142857143,0,0.714285714,0.571428571,0.142857143,0.347550474,0.269553541,0.14552737,0.075408742,0.017540349,0.812908388,0.530447542,0.067582418,0.170879121,0.376314333,0.141290323,0.690871369,0.254143646,0.414030261,0.380952381,0.5,0.181818182,0.727272727,abnormal
1673335502,0:25,0,0,0,0.71257485,0,0.161616162,0.08,0.04,0.428571429,0.571428571,0.714285714,0.571428571,0.142857143,0.285714286,0.346046557,0.216851292,0.14753004,0.103770437,0.615179405,0.211494866,0.405589275,0.032967033,0.141208791,0.167127836,0.418064516,0.806016598,0.225138122,0.464924347,0,0,0.272727273,0.636363636,abnormal
1673335562,0:26,0,0,0,0.107784431,0,0.02020202,0.25,0.16,0.285714286,0.428571429,1,0.142857143,0.714285714,0.714285714,0.345205657,0.074185968,0.274032043,0.215215215,0.825997065,0.836644886,0.426732475,0.032967033,0.071978022,0.371333702,0.86516129,0.808609959,0.446132597,0.485557084,0.19047619,0.15,0.090909091,0.727272727,abnormal
1673335622,0:27,0,0,0,0.233532934,0,0.262626263,0.21,0.16,1,0.714285714,0.285714286,1,0.857142857,0.714285714,0.343960478,0.281638134,0.249332443,0.215882549,0.310390823,0.510868116,0.30120723,0.443406593,0.156043956,0.351411179,1,0.005705394,0.620165746,0.203576341,0,0,0.636363636,0,abnormal
1673335682,0:28,0,0,0,0.311377246,0,0.111111111,0.32,0.2,0.142857143,0.142857143,0.142857143,0.285714286,0.428571429,0.142857143,0.342796154,0.177576368,0.308744993,0.24024024,0.0440843,0.743499133,0.115453878,0.230769231,0.047252747,0.152185944,0.503225806,0.141078838,0.367403315,0.225584594,0.380952381,0.25,0.272727273,0.272727273,abnormal
1673335742,0:29,0,0,0,0.550898204,0,0,0.11,0.12,0.571428571,0.142857143,0.285714286,0.428571429,0.285714286,0.142857143,0.341599489,0,0.174899866,0.180847514,0.239562492,0.047606348,0.822183686,0.438461538,0.442857143,0.261759823,0.379354839,0.079356846,0.069060773,0.265474553,0.142857143,0.1,0.090909091,0.363636364,abnormal
1673335802,0:30,0,0,0,0.221556886,0,0.141414141,0.21,0.04,0.428571429,0.714285714,0.142857143,0.142857143,0.714285714,0.285714286,0.340685819,0.201409869,0.247329773,0.102102102,0.934707216,0.924989999,0.031081171,0.126923077,0.358791209,0.441062535,0.452903226,0.426348548,0.354972376,0.097661623,0.523809524,0.75,0.818181818,0.090909091,abnormal
1673335862,0:31,0,0,0,0.616766467,0,0.191919192,0.02,0.03,0,0.571428571,0.285714286,0.714285714,0.428571429,0.285714286,0.33936787,0.237663646,0.072763685,0.077077077,0.807456316,0.337911722,0.339291669,0.141758242,0.057142857,0.07747648,0.509032258,0.179460581,0.374309392,0.16781293,0.238095238,0.85,0.818181818,0.454545455,abnormal
1673335922,0:32,0,0,0,0.706586826,0,0.202020202,0.14,0.25,0.714285714,0.142857143,0.428571429,0.571428571,0.857142857,0.428571429,0.337597128,0.242363209,0.202269693,0.273273273,0.218420702,0.807374317,0.304942306,0.028021978,0.131318681,0.047592695,0.56516129,0.085062241,0.375690608,0.257221458,0.047619048,0.05,0.181818182,0.090909091,abnormal
1673335982,0:33,0,0,0,0.54491018,0,0.101010101,0.19,0.14,0.142857143,0.142857143,0.571428571,0.285714286,0.428571429,1,0.336206409,0.169519973,0.234646195,0.202869536,0.742496999,0.026536872,0.803241513,0.072527473,0.141208791,0.147205313,0.209032258,0.806016598,0.324585635,0.536451169,0.142857143,0.55,0.454545455,0.363636364,abnormal
1673336042,0:34,0,0,0,0.838323353,0,0.01010101,0.21,0.15,0,0.571428571,0.285714286,0.142857143,0.714285714,0.142857143,0.334508437,0.045317221,0.246995995,0.20687354,0.60710951,0.721629551,0.817047956,0.433516484,0.126373626,0.441062535,0.86516129,0.153008299,0.375690608,0.294360385,0.047619048,0.05,0.272727273,0.090909091,abnormal
1673336102,0:35,0,0,0,0.347305389,0,0.202020202,0.15,0.31,0.857142857,0.285714286,0.714285714,0.142857143,0.428571429,0.285714286,0.333190488,0.24135616,0.203938585,0.304637971,0.027277578,0.031270836,0.231508037,0.423626374,0.071978022,0.162147205,0.509032258,0.197095436,0.406077348,0.202200825,0.238095238,0.35,0.818181818,0.272727273,abnormal
1673336162,0:36,0,0,0,0.407185629,0,0.01010101,0.15,0.33,0.142857143,0.285714286,0.428571429,0.857142857,0.571428571,0.285714286,0.331937224,0.044310171,0.203604806,0.314981648,0.842336935,0.602213628,0.834389382,0.458241758,0.057142857,0.261759823,0.141290323,0.023340249,0.16160221,0.261348006,0,0.15,0.090909091,0.818181818,abnormal
1673336222,0:37,0,0,0,0.526946108,0,0.070707071,0,0.05,0.285714286,0.142857143,0.857142857,0.428571429,0.571428571,0.714285714,0.330797157,0.140315542,0.009345794,0.114781448,0.928304655,0.30297373,0.119922631,0.349450549,0.235164835,0.361372441,0.570967742,0.517634855,0.364640884,0.42090784,0.238095238,0.45,0.909090909,0.545454545,abnormal
1673336282,0:38,0,0,0,0.80239521,0,0.313131313,0.1,0.08,0.571428571,0,0.428571429,0.285714286,0.142857143,0.285714286,0.329058758,0.306478684,0.169225634,0.148481815,0.533279979,0.429790639,0.729340359,0.032967033,0.339010989,0.241837299,0.970967742,0.03526971,0.635359116,0.254470426,0.095238095,0.25,0.363636364,0.636363636,abnormal
1673336342,0:39,0,0,0,0.203592814,0,0.050505051,0.07,0.2,0.142857143,0.142857143,0.857142857,0.857142857,0.714285714,0.428571429,0.328185515,0.108089963,0.133845127,0.242909576,0.004735227,0.028937192,0.829653838,0.443406593,0.052197802,0.231876038,0.029677419,0.279564315,0.21961326,0.334250344,0.19047619,0.2,0.545454545,0.545454545,abnormal
1673336402,0:40,0,0,0,0.239520958,0,0.080808081,0.15,0.11,0.285714286,0.428571429,0.142857143,0.428571429,0.571428571,0.857142857,0.327271845,0.146357838,0.210947931,0.171838505,0.625783647,0.510468062,0.907490162,0.26043956,0.368681319,0.326508024,0.994193548,0.938278008,0.511049724,0.375515818,0,0,0.454545455,0.090909091,abnormal
1673336462,0:41,0,0,0,0.700598802,0,0,0.19,0.15,0.714285714,0.571428571,0.857142857,0.714285714,0.714285714,0.142857143,0.325678986,0.010070493,0.237983979,0.21021021,0.532613045,0.308241099,0.620956446,0.265384615,0.131318681,0.042612064,0.879354839,0.352697095,0.595303867,0.342503439,0.095238095,0.15,0.545454545,0.545454545,abnormal
1673336522,0:42,0,0,0,0.724550898,0,0.01010101,0.01,0.21,0.285714286,0.571428571,0.857142857,0,0.142857143,0.714285714,0.324207411,0.036925143,0.038050734,0.246579913,0.721688675,0.7394986,0.738211165,0.028021978,0.343956044,0.142224682,0.8,0.088174274,0.407458564,0.244841816,0.095238095,0,0.090909091,0.636363636,abnormal
1673336582,0:43,0,0,0,0.203592814,0,0.050505051,0.04,0.01,0.714285714,0.142857143,0.142857143,0.428571429,0.142857143,0.714285714,0.323560565,0.109097012,0.105807744,0.038371705,0.901827398,0.141818909,0.320216101,0.141758242,0.027472527,0.361372441,0.2,0.879149378,0.241712707,0.426409904,0.238095238,0.25,0.727272727,0.363636364,abnormal
1673336642,0:44,0,0,0,0.646706587,0,0.03030303,0.08,0.33,0.714285714,0,0.571428571,1,0.857142857,0.714285714,0.321951535,0.075193018,0.142857143,0.314314314,0.630985728,0.51440192,0.027879677,0.052747253,0.442857143,0.062534588,0.288387097,0.70280083,0.33839779,0.495185695,0.285714286,0.2,0.363636364,0.545454545,abnormal
1673336702,0:45,0,0,0,0.832335329,0,0,0.31,0.16,1,0,0.142857143,0.142857143,0.142857143,0.857142857,0.320164622,0.010070493,0.30740988,0.216216216,0.123582766,0.43412455,0.327953045,0.255494505,0.160989011,0.236856669,0.918064516,0.126556017,0.509668508,0.328748281,0.047619048,0.1,0.909090909,0.818181818,abnormal
1673336762,0:46,0,0,0,0.640718563,0,0.191919192,0.21,0.04,0.857142857,0.428571429,0,0.285714286,0.571428571,0.857142857,0.318620277,0.236992279,0.249332443,0.102435769,0.903428038,0.114615282,0.321349963,0.334615385,0.042307692,0.441062535,0.912258065,0.088174274,0.483425414,0.16781293,0.761904762,0.7,0.727272727,0.363636364,abnormal
